WDPAID,NAME,HF_1993,HF_2009,Change_HF_1993_2009,Tree_area_2000,Loss_area_2001,Loss_area_2002,Loss_area_2003,Loss_area_2004,Loss_area_2005,Loss_area_2006,Loss_area_2007,Loss_area_2008,Loss_area_2009,Loss_area_2010,Loss_area_2011,Loss_area_2012,Forest_loss_2001_to_2012,Forest_gain_2001_to_2012,percent_forest_loss_2001_to_2012
2579,Olympic National Park,1.3084,1.4904,0.1809,2985.377856,0.134159077,0.364886674,0.563388257,1.918548214,0.582284932,2.0351445,1.98488543,4.439019086,3.426125035,1.481454968,1.919302263,2.661279204,21.51047764,5.953323823,0.720527809
2580,Niokolo-Koba National Park,3.1691,3.1223,-0.0130,1106.524655,0.861724191,8.065399021,1.781401145,0.017850638,1.847112546,0.960103385,4.442354801,0.005295163,0.344686153,0.094297997,0.132247297,0.61755363,19.17002597,0.013945137,1.732453577
4322,Ichkeul National Park,12.2530,11.3439,-0.6532,17.02458004,0,0,0,0,0,0,0,0,0.005384785,0,0.00206266,0,0.007447445,0.148942103,0.043745248
4325,Redwood National and State Parks,5.7336,5.7477,0.0141,506.2497541,0.314582624,0.247392299,0.049472921,0.622884837,0.25924382,0.44849824,0.50684676,0.4719712,0.598713686,0.461137708,0.102496706,0.140653527,4.223894328,14.98199288,0.834349902
4326,Durmitor National Park,10.0542,9.7766,-0.2139,132.7919062,0.141142363,0.007555386,0.013154364,0.061399938,0.065827302,0.012314475,0.327782629,0.927492809,0.015522089,0.053439234,0.007339495,0.303101223,1.936071306,1.123459928,1.457973879
4327,Garamba National Park,3.6727,3.7193,0.0374,2143.135577,0.852769506,0.278138816,0.118581447,1.061143182,0.270057155,0.30087796,0.816078463,0.433716056,0.484668887,0.34879062,0.185792784,0.199249272,5.349864148,2.925279956,0.249627891
4328,Kahuzi-Biega National Park,5.9960,5.7547,-0.2383,6439.778065,3.009167317,5.878960913,2.609060795,7.579886733,7.423118385,3.653520135,5.366673479,4.795551828,3.432896355,6.413265657,5.228371293,1.615238857,57.00571175,6.102528756,0.885212366
4999,Tassili n'Ajjer,1.4073,1.4096,0.0021,0.009478791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,Tasmanian Wilderness,1.2028,1.4073,0.1822,10863.16839,1.661945515,0.163749432,2.02816475,0.48556098,0.912540995,4.677347609,70.05484271,4.333715107,0.790251247,1.561285658,1.665298492,2.088294493,90.42299699,14.70275736,0.832381436
5001,Lord Howe Island Group,4.0000,4.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002,R¡o Platano Biosphere Reserve,1.4406,2.6661,1.1775,4309.204853,11.15596457,14.64551276,13.62008481,14.57190721,38.06966171,31.59885046,25.65169984,32.51071289,61.44078867,49.73522984,53.32596182,19.31724481,365.6436194,5.203137339,8.48517608
5003,Tai National Park,3.8898,5.1840,1.2771,2549.98048,0.158228087,0.19374986,0.433647126,0.048414897,0.034046672,0.086827209,0.126305311,0.079454071,0.172136775,0.158013378,0.083395997,0.020771478,1.594990862,0.185075884,0.06254914
5005,Selous Game Reserve,5.4937,5.4053,-0.1447,16071.99873,11.16544804,9.175211506,8.288943087,9.526498164,17.20067405,18.35001102,11.13793291,8.181591481,9.694143779,10.85503536,7.64117169,5.955793467,127.1724546,24.41755759,0.791267201
9545,Comoe National Park,4.9560,5.2177,0.2636,2089.200726,0.173394321,1.189449347,3.14771545,0.407834776,0.632117118,0.163175349,0.085468776,10.470578,0.397372599,0.671512988,0.284145923,0.249926374,17.87269102,0.042400037,0.85547984
9612,Srebarna Nature Reserve,13.5782,15.7782,2.2000,2.183451417,0,0,0,0.005687244,0,0,0,0,0,0,0,0,0.005687244,0.020671779,0.260470364
9613,Pirin National Park,9.4059,8.1673,-1.2316,191.3231024,0.021714961,0.009112965,0.145539749,0.068933012,0.053650667,0,0,0.007402104,0.016431601,0.009568958,0,0.027999435,0.360353449,1.180896978,0.188348111
9614,Sangay National Park,1.1376,1.6647,0.5218,1730.872806,0.270781751,0.372146438,0.160545309,0.372296355,0.066761398,0.137818959,0.125529172,0.075911521,0.116374992,0.13267239,0.050039163,0.20043192,2.081309367,0.257324614,0.120246234
9623,Historic Sanctuary of Machu Picchu,9.0720,9.7237,0.6517,104.5706683,0.014772834,0.011847591,0.033586174,0.001253699,0.038050659,0.033167293,0,0.0126803,0.012125845,0.037350325,0.044740861,0.151618734,0.391194317,0.027870847,0.374095646
9632,Great Smoky Mountains National Park,5.2971,5.4119,0.1086,1942.769558,0.194914209,0.250877366,0.211150686,0.437816215,0.255155502,0.518810601,0.504863276,1.34964325,0.363143045,0.23266216,3.422279223,0.293616473,8.034932006,5.162598767,0.413581321
10744,Kaziranga National Park,10.6200,12.6007,1.9908,116.4420824,0.007823335,0.00128171,0.027164864,0.092376176,0.106605738,0.118901393,0.310600259,0.266754979,0.095830315,0.180665812,0.193733432,1.062803001,2.464541015,0.038459972,2.11653808
10745,Manas Wildlife Sanctuary,11.7525,17.0041,5.2571,165.9714783,0.015115561,0.017676896,0.038816375,0.203282191,0.335129326,0.439114579,0.614540212,0.641096449,0.563090317,0.439411407,0.841736412,0.183216548,4.332226274,0.128132295,2.610223345
10746,Keoladeo National Park,19.9290,21.3955,1.5938,2.67532403,0,0.025522593,0,0,0,0.003446153,0.195893621,0.176957524,0.041468184,0,0,0,0.443288076,0,16.56950976
10747,Huascaran National Park,5.6565,5.6233,-0.0331,42.35829263,0.001272414,0.001836571,0.001838233,0,8.47E-04,0.037432808,0.007909191,0.017515313,0.008893194,0.007203328,1.41E-04,0.017939925,0.102829548,0,0.242761315
10901,Iguazu National Park,8.7403,9.2195,0.4802,558.6068871,0,0.012786885,0.012924757,0.008788756,0,0.012926368,0.012786909,0.012787053,0.012924669,0.025837166,0,0.051316029,0.163078592,0,0.029193803
10902,Wood Buffalo National Park,0.4302,0.5175,0.0667,22070.98804,36.39330742,23.53240442,92.99719508,601.3350262,269.8821467,113.1730969,421.298634,77.74716245,6.610733349,19.10442494,128.8592834,790.5226628,2581.456078,107.1931798,11.69615095
10903,Talamanca Range-La Amistad Reserves / La Amistad National Park,4.1629,4.9769,0.8062,5295.553285,0.563239066,0.575144388,0.452246024,0.503539263,0.804580318,0.692199926,0.88606982,1.175673019,2.531878911,0.859413847,1.12109888,1.284201628,11.44928509,0.508348584,0.216205644
10904,Lake Malawi National Park,13.6271,13.1069,-0.5077,17.48589622,0,0,0,6.94E-04,0,0,0,0,0,0,0,0.00347151,0.004165763,0.041659055,0.02382356
10905,Chitwan National Park,11.4692,14.4689,2.9983,768.0448914,0.121379204,0.068311603,0.328465182,0.113987712,0.09692988,0.108291324,0.175298499,0.13093342,0.219748448,0.08524501,0.133217845,0.162091171,1.743899298,1.793532154,0.227056949
10906,Salonga National Park,2.3242,2.8425,0.5188,34922.41976,4.144931121,6.131134359,3.73989792,3.294051282,3.758441472,9.206954938,4.424581094,5.787486132,6.09526629,10.10432001,4.29523745,4.95878267,65.94108473,18.64053533,0.188821637
10907,"Mana Pools National Park, Sapi and Chewore Safari Areas",9.0392,6.2083,-2.8794,954.2916122,0.430666413,0.75931985,0.09257068,0.050301772,0.386879529,0.086634702,0.044096768,0.231389522,0.058014051,0.14127997,0.189199207,0.146813979,2.617166443,0.220512899,0.274252274
10908,Yosemite National Park,2.6752,2.8148,0.1399,1184.618434,1.275468925,0.32649176,2.047457674,5.430157055,5.293881896,6.508373377,0.475147402,2.393863619,5.092475576,14.68205825,1.451101935,0.465480841,45.44195831,21.18416791,3.835999595
12202,Gondwana Rainforests of Australia,2.6486,2.9310,0.2895,2737.643303,0.097001007,0.12248357,0.273048672,0.095627208,0.04708522,0.10265571,0.093598622,0.114604667,0.329155664,0.187714642,0.317002446,0.698601053,2.478578482,1.492778654,0.09053694
12203,Iguacu National Park,6.9844,7.2125,0.2291,1609.853696,0.012848431,0,0,0,0,0.012848546,0,0,0,0,0.012823424,0.102888974,0.141409374,0.025876246,0.008783989
12206,Garajonay National Park,10.7070,10.5913,-0.3158,30.75484626,0.003922162,0,0,0,0.023149967,0.017715941,0,0,0,0,0,0.085791983,0.130580053,0.02530725,0.424583664
12207,Giant's Causeway and Causeway Coast,0.0000,0.0000,0.0000,0.220690807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016456497,0
12209,Skocjan Caves,22.8394,15.2421,-5.6000,3.062602541,0,0,0,0,0,0,0,0,0.008353588,0.007347263,0,0,0.015700851,0,0.512663681
12896,Henderson Island,1.0000,1.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14177,Sundarbans National Park,9.1353,9.0578,-0.0677,329.2090316,0,0,0,0.014098472,0,0,0,0,0.007454911,0,0.007188968,7.98E-04,0.029540543,0,0.008973187
16791,Sinharaja Forest Reserve,16.7484,9.7040,-7.0000,89.76898487,0.011516203,0,0.02601764,0.012369134,0.024737658,0.026158699,0,0,0,0.012368286,0,0.054308133,0.167475754,0.01421768,0.186563047
16792,Manovo-Gounda St Floris National Park,0.8848,1.8345,0.9013,4546.420626,0.814430367,0.236934941,0.07134244,0.089673566,0.228652422,0.218139939,0.379728304,0.088633761,0.193142317,0.111655818,0.092912502,0.085340238,2.610586616,0.042428917,0.057420701
16793,Nanda Devi and Valley of Flowers National Parks,2.3456,2.6741,0.3293,5.724994099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17050,Mount Taishan,16.0324,17.1313,1.0989,67.32971107,0.186883992,0.066426466,0.009841401,0.107086067,0,0.001043121,0.253351418,0.035567022,0,6.95E-04,0,0.153376747,0.814271346,0.671867692,1.20937894
17757,Wet Tropics of Queensland,3.8600,4.2199,0.3739,7849.418284,0.313076311,0.104404852,0.224605722,0.307581664,1.246045482,1.697426174,3.608210072,0.474729069,1.010867028,0.640805041,61.65721509,1.282415389,72.5673819,1.242809244,0.924493756
17758,Dja Faunal Reserve,2.4264,3.3578,0.9309,5206.014053,0.033134918,0.111546847,0.197098653,0.024278443,0.088837328,0.100548655,0.281490303,0.051421454,0.680670956,0.101267138,0.028993011,0.172540348,1.871828054,0.142835579,0.03595511
